"x","y"
0.606,0.7613
0.8039,0.7182
1.1749,0.6627
1.5707,0.6165
2.0654,0.5743
2.5724,0.5413
3.0795,0.5144
3.8587,0.4818
4.811,0.4515
5.9117,0.4251
7.1979,0.4
9.0406,0.3723
10.3269,0.3578
11.3286,0.3468
12.6148,0.3353
