"x","y"
0.312,32.2772
0.4902,38.0757
0.5972,40.136
0.8079,44.1838
0.9995,46.6887
1.1964,48.9261
1.472,51.3073
2.1334,55.4523
2.535,57.2178
2.9794,58.8854
3.5251,60.5433
4.0954,61.9326
4.7449,63.1903
5.3715,64.2353
6.0847,65.2649
6.7489,66.1044
7.3351,66.7197
7.9846,67.3185
8.6111,67.9332
9.1727,68.3693
9.7905,68.8342
10.3767,69.2524
11.063,69.6689
11.8345,70.1146
12.6373,70.5584
