"x","y"
0.4823,0.7683
0.6678,0.7155
0.9028,0.6609
1.1502,0.6125
1.4099,0.5738
1.7562,0.5289
2.1519,0.4884
2.5353,0.4554
2.9187,0.4277
3.4258,0.3982
3.9329,0.3723
4.5018,0.3485
5.0954,0.3287
5.7633,0.3089
6.4929,0.2904
7.2597,0.2741
7.9523,0.2601
8.7438,0.2482
9.4735,0.2372
10.1413,0.2284
10.7721,0.2218
11.4276,0.2152
11.9717,0.2081
12.5035,0.2033
